prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
					prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
					prefix owl: <http://www.w3.org/2002/07/owl#>
					SELECT * WHERE {
					 ?a0 rdf:type ?C0.
					 ?C1 rdfs:subClassOf ?C2.
					 ?C2 rdfs:subClassOf ?C3.
					 ?C3 rdfs:subClassOf ?C4.
					 ?C0 owl:disjointWith ?C4.
					 ?p0 rdfs:domain ?C1.
					 ?a0 ?p0 ?a1.}

a0,C0,C1,C2,C3,C4,p0,a1
https://w3id.org/cocoon/v1.0#mirandazhangqian,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/lastName,Zhang
http://kantenwerk.org/metadata/foaf.rdf#me,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/surname,Möller
https://w3id.org/cocoon/v1.0#mirandazhangqian,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/lastName,Zhang
https://w3id.org/cocoon/v1.0#mirandazhangqian,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/workInfoHomepage,https://www.linkedin.com/in/mirandazhangq/
http://data.semanticweb.org/person/sean-bechhofer,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/surname,Bechhofer
https://w3id.org/cocoon/v1.0#mirandazhangqian,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/workInfoHomepage,https://www.linkedin.com/in/mirandazhangq/
http://tomheath.com/id/me,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/surname,Heath
http://kantenwerk.org/metadata/foaf.rdf#me,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/surname,Möller
https://w3id.org/cocoon/v1.0#mirandazhangqian,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/lastName,Zhang
https://w3id.org/cocoon/v1.0#mirandazhangqian,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/lastName,Zhang
https://w3id.org/cocoon/v1.0#mirandazhangqian,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/workInfoHomepage,https://www.linkedin.com/in/mirandazhangq/
http://data.semanticweb.org/person/sean-bechhofer,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://purl.org/goodrelations/v1#BusinessEntity,http://www.w3.org/ns/org#FormalOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/surname,Bechhofer
