prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
prefix owl: <http://www.w3.org/2002/07/owl#>
SELECT * WHERE {
?a1 rdf:type ?C0.
?C1 rdfs:subClassOf ?C2.
?C2 rdfs:subClassOf ?C3.
?C0 owl:disjointWith ?C3.
?p0 rdfs:range ?C1.
?a0 ?p0 ?a1.
}
a1,C0,C1,C2,C3,p0,a0
http://purl.org/dc/aboutdcmi#DCMI,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.org/dc/elements/1.1/
http://dbpedia.org/resource/Open_Geospatial_Consortium,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.opengis.net/ont/geosparql
http://dbpedia.org/resource/Open_Geospatial_Consortium,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.opengis.net/ont/geosparql
http://www.aktors.org,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.aktors.org/ontology/portal
http://www.aktors.org,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.aktors.org/ontology/portal
https://www.w3.org/2014/data-shapes/,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/ns/shacl#
https://www.w3.org/2014/data-shapes/,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/ns/shacl#
http://purl.org/dc/aboutdcmi#DCMI,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/
http://purl.org/dc/aboutdcmi#DCMI,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/
https://www.gleif.org/ontology/Base/GLEIF,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,https://www.gleif.org/ontology/Base/
https://www.gleif.org/ontology/Base/GLEIF,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,https://www.gleif.org/ontology/Base/
http://viaf.org/viaf/142310292,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://data.ordnancesurvey.co.uk/ontology/admingeo/
http://viaf.org/viaf/142310292,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://data.ordnancesurvey.co.uk/ontology/admingeo/
https://www.gleif.org/ontology/Base/GLEIF,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,https://www.gleif.org/ontology/Base/
https://www.gleif.org/ontology/Base/GLEIF,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,https://www.gleif.org/ontology/Base/
http://www.gesis.org/,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://rdf-vocabulary.ddialliance.org/discovery
http://www.gesis.org/,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://rdf-vocabulary.ddialliance.org/discovery
http://purl.org/dc/aboutdcmi#DCMI,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.org/dc/elements/1.1/
http://purl.org/dc/aboutdcmi#DCMI,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.org/dc/elements/1.1/
http://dbpedia.org/resource/Open_Geospatial_Consortium,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.opengis.net/ont/geosparql
http://dbpedia.org/resource/Open_Geospatial_Consortium,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.opengis.net/ont/geosparql
https://www.w3.org/2014/data-shapes/,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/ns/shacl#
https://www.w3.org/2014/data-shapes/,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/ns/shacl#
https://www.gleif.org/ontology/Base/GLEIF,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,https://www.gleif.org/ontology/Base/
https://www.gleif.org/ontology/Base/GLEIF,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,https://www.gleif.org/ontology/Base/
http://www.gesis.org/,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://rdf-vocabulary.ddialliance.org/discovery
http://www.gesis.org/,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://rdf-vocabulary.ddialliance.org/discovery
http://viaf.org/viaf/142310292,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://data.ordnancesurvey.co.uk/ontology/admingeo/
http://viaf.org/viaf/142310292,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://data.ordnancesurvey.co.uk/ontology/admingeo/
https://www.gleif.org/ontology/Base/GLEIF,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,https://www.gleif.org/ontology/Base/
https://www.gleif.org/ontology/Base/GLEIF,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,https://www.gleif.org/ontology/Base/
http://purl.org/dc/aboutdcmi#DCMI,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/
http://purl.org/dc/aboutdcmi#DCMI,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/2005/Incubator/ssn/ssnx/ssn
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/2005/Incubator/ssn/ssnx/ssn
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/2005/Incubator/ssn/ssnx/ssn
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/2005/Incubator/ssn/ssnx/ssn
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/2005/Incubator/ssn/ssnx/ssn
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/2005/Incubator/ssn/ssnx/ssn
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/2005/Incubator/ssn/ssnx/ssn
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://www.w3.org/2005/Incubator/ssn/ssnx/ssn
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-feature
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-feature
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-property
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-property
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-property
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-property
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-property
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-property
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-feature
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-feature
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-feature
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-feature
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-feature
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-feature
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-property
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-property
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.regesta.com,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.isprambiente.gov.it/it,http://xmlns.com/foaf/0.1/Organization,http://schema.org/Person,http://www.w3.org/2000/10/swap/pim/contact#Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://dati.isprambiente.it/ontology/core#
http://www.w3.org/2005/Incubator/ssn/,http://xmlns.com/foaf/0.1/Organization,http://www.w3.org/2000/10/swap/pim/contact#Person,http://schema.org/Person,http://xmlns.com/foaf/0.1/Person,http://purl.org/dc/terms/creator,http://purl.oclc.org/NET/ssnx/cf/cf-feature
